id	identifier	zh_name	en_name	category	cost	short_effect	zh_effect
1454	dynamax-crystal-crv4757	★Crv4757	★Crv4757	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1455	dynamax-crystal-crv4623	★Crv4623	★Crv4623	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1456	dynamax-crystal-crv4662	★Crv4662	★Crv4662	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1457	dynamax-crystal-crv4786	★Crv4786	★Crv4786	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1458	dynamax-crystal-aur1708	★Aur1708	★Aur1708	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1459	dynamax-crystal-aur2088	★Aur2088	★Aur2088	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1460	dynamax-crystal-aur1605	★Aur1605	★Aur1605	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1461	dynamax-crystal-aur2095	★Aur2095	★Aur2095	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1462	dynamax-crystal-aur1577	★Aur1577	★Aur1577	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1463	dynamax-crystal-aur1641	★Aur1641	★Aur1641	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1464	dynamax-crystal-aur1612	★Aur1612	★Aur1612	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1465	dynamax-crystal-pav7790	★Pav7790	★Pav7790	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1466	dynamax-crystal-cet911	★Cet911	★Cet911	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1467	dynamax-crystal-cet681	★Cet681	★Cet681	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1468	dynamax-crystal-cet188	★Cet188	★Cet188	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1469	dynamax-crystal-cet539	★Cet539	★Cet539	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1470	dynamax-crystal-cet804	★Cet804	★Cet804	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1471	dynamax-crystal-cep8974	★Cep8974	★Cep8974	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1472	dynamax-crystal-cep8162	★Cep8162	★Cep8162	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1473	dynamax-crystal-cep8238	★Cep8238	★Cep8238	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1474	dynamax-crystal-cep8417	★Cep8417	★Cep8417	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1475	dynamax-crystal-cen5267	★Cen5267	★Cen5267	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1476	dynamax-crystal-cen5288	★Cen5288	★Cen5288	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1477	dynamax-crystal-cen551	★Cen551	★Cen551	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1478	dynamax-crystal-cen5459	★Cen5459	★Cen5459	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1479	dynamax-crystal-cen5460	★Cen5460	★Cen5460	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1480	dynamax-crystal-cmi2943	★CMi2943	★CMi2943	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1481	dynamax-crystal-cmi2845	★CMi2845	★CMi2845	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1482	dynamax-crystal-equ8131	★Equ8131	★Equ8131	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1483	dynamax-crystal-vul7405	★Vul7405	★Vul7405	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1484	dynamax-crystal-umi424	★UMi424	★UMi424	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1485	dynamax-crystal-umi5563	★UMi5563	★UMi5563	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1486	dynamax-crystal-umi5735	★UMi5735	★UMi5735	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1487	dynamax-crystal-umi6789	★UMi6789	★UMi6789	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1488	dynamax-crystal-crt4287	★Crt4287	★Crt4287	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1489	dynamax-crystal-lyr7001	★Lyr7001	★Lyr7001	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1490	dynamax-crystal-lyr7178	★Lyr7178	★Lyr7178	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1491	dynamax-crystal-lyr7106	★Lyr7106	★Lyr7106	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1492	dynamax-crystal-lyr7298	★Lyr7298	★Lyr7298	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1493	dynamax-crystal-ara6585	★Ara6585	★Ara6585	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1494	dynamax-crystal-sco6134	★Sco6134	★Sco6134	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1495	dynamax-crystal-sco6527	★Sco6527	★Sco6527	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1496	dynamax-crystal-sco6553	★Sco6553	★Sco6553	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1497	dynamax-crystal-sco5953	★Sco5953	★Sco5953	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1498	dynamax-crystal-sco5984	★Sco5984	★Sco5984	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1499	dynamax-crystal-sco6508	★Sco6508	★Sco6508	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1500	dynamax-crystal-sco6084	★Sco6084	★Sco6084	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1501	dynamax-crystal-sco5944	★Sco5944	★Sco5944	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1502	dynamax-crystal-sco6630	★Sco6630	★Sco6630	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1503	dynamax-crystal-sco6027	★Sco6027	★Sco6027	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1504	dynamax-crystal-sco6247	★Sco6247	★Sco6247	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1505	dynamax-crystal-sco6252	★Sco6252	★Sco6252	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1506	dynamax-crystal-sco5928	★Sco5928	★Sco5928	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1507	dynamax-crystal-sco6241	★Sco6241	★Sco6241	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1508	dynamax-crystal-sco6165	★Sco6165	★Sco6165	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1509	dynamax-crystal-tri544	★Tri544	★Tri544	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1510	dynamax-crystal-leo3982	★Leo3982	★Leo3982	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1511	dynamax-crystal-leo4534	★Leo4534	★Leo4534	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1512	dynamax-crystal-leo4357	★Leo4357	★Leo4357	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1513	dynamax-crystal-leo4057	★Leo4057	★Leo4057	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1514	dynamax-crystal-leo4359	★Leo4359	★Leo4359	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1515	dynamax-crystal-leo4031	★Leo4031	★Leo4031	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1516	dynamax-crystal-leo3852	★Leo3852	★Leo3852	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1517	dynamax-crystal-leo3905	★Leo3905	★Leo3905	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1518	dynamax-crystal-leo3773	★Leo3773	★Leo3773	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1519	dynamax-crystal-gru8425	★Gru8425	★Gru8425	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1520	dynamax-crystal-gru8636	★Gru8636	★Gru8636	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1521	dynamax-crystal-gru8353	★Gru8353	★Gru8353	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1522	dynamax-crystal-lib5685	★Lib5685	★Lib5685	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1523	dynamax-crystal-lib5531	★Lib5531	★Lib5531	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1524	dynamax-crystal-lib5787	★Lib5787	★Lib5787	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1525	dynamax-crystal-lib5603	★Lib5603	★Lib5603	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1526	dynamax-crystal-pup3165	★Pup3165	★Pup3165	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1527	dynamax-crystal-pup3185	★Pup3185	★Pup3185	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1528	dynamax-crystal-pup3045	★Pup3045	★Pup3045	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1529	dynamax-crystal-cyg7924	★Cyg7924	★Cyg7924	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1530	dynamax-crystal-cyg7417	★Cyg7417	★Cyg7417	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1531	dynamax-crystal-cyg7796	★Cyg7796	★Cyg7796	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1532	dynamax-crystal-cyg8301	★Cyg8301	★Cyg8301	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1533	dynamax-crystal-cyg7949	★Cyg7949	★Cyg7949	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1534	dynamax-crystal-cyg7528	★Cyg7528	★Cyg7528	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1535	dynamax-crystal-oct7228	★Oct7228	★Oct7228	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1536	dynamax-crystal-col1956	★Col1956	★Col1956	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1537	dynamax-crystal-col2040	★Col2040	★Col2040	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1538	dynamax-crystal-col2177	★Col2177	★Col2177	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1539	dynamax-crystal-gem2990	★Gem2990	★Gem2990	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1540	dynamax-crystal-gem2891	★Gem2891	★Gem2891	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1541	dynamax-crystal-gem2421	★Gem2421	★Gem2421	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1542	dynamax-crystal-gem2473	★Gem2473	★Gem2473	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1543	dynamax-crystal-gem2216	★Gem2216	★Gem2216	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1544	dynamax-crystal-gem2777	★Gem2777	★Gem2777	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1545	dynamax-crystal-gem2650	★Gem2650	★Gem2650	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1546	dynamax-crystal-gem2286	★Gem2286	★Gem2286	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1547	dynamax-crystal-gem2484	★Gem2484	★Gem2484	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1548	dynamax-crystal-gem2930	★Gem2930	★Gem2930	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1549	dynamax-crystal-peg8775	★Peg8775	★Peg8775	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1550	dynamax-crystal-peg8781	★Peg8781	★Peg8781	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1551	dynamax-crystal-peg39	★Peg39	★Peg39	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1552	dynamax-crystal-peg8308	★Peg8308	★Peg8308	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1553	dynamax-crystal-peg8650	★Peg8650	★Peg8650	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1554	dynamax-crystal-peg8634	★Peg8634	★Peg8634	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1555	dynamax-crystal-peg8684	★Peg8684	★Peg8684	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1556	dynamax-crystal-peg8450	★Peg8450	★Peg8450	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1557	dynamax-crystal-peg8880	★Peg8880	★Peg8880	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1558	dynamax-crystal-peg8905	★Peg8905	★Peg8905	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1559	dynamax-crystal-oph6556	★Oph6556	★Oph6556	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1560	dynamax-crystal-oph6378	★Oph6378	★Oph6378	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1561	dynamax-crystal-oph6603	★Oph6603	★Oph6603	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1562	dynamax-crystal-oph6149	★Oph6149	★Oph6149	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1563	dynamax-crystal-oph6056	★Oph6056	★Oph6056	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1564	dynamax-crystal-oph6075	★Oph6075	★Oph6075	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1565	dynamax-crystal-ser5854	★Ser5854	★Ser5854	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1566	dynamax-crystal-ser7141	★Ser7141	★Ser7141	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1567	dynamax-crystal-ser5879	★Ser5879	★Ser5879	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1568	dynamax-crystal-her6406	★Her6406	★Her6406	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1569	dynamax-crystal-her6148	★Her6148	★Her6148	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1570	dynamax-crystal-her6410	★Her6410	★Her6410	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1571	dynamax-crystal-her6526	★Her6526	★Her6526	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1572	dynamax-crystal-her6117	★Her6117	★Her6117	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1573	dynamax-crystal-her6008	★Her6008	★Her6008	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1574	dynamax-crystal-per936	★Per936	★Per936	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1575	dynamax-crystal-per1017	★Per1017	★Per1017	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1576	dynamax-crystal-per1131	★Per1131	★Per1131	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1577	dynamax-crystal-per1228	★Per1228	★Per1228	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1578	dynamax-crystal-per834	★Per834	★Per834	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1579	dynamax-crystal-per941	★Per941	★Per941	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1580	dynamax-crystal-phe99	★Phe99	★Phe99	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1581	dynamax-crystal-phe338	★Phe338	★Phe338	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1582	dynamax-crystal-vel3634	★Vel3634	★Vel3634	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1583	dynamax-crystal-vel3485	★Vel3485	★Vel3485	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1584	dynamax-crystal-vel3734	★Vel3734	★Vel3734	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1585	dynamax-crystal-aqr8232	★Aqr8232	★Aqr8232	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1586	dynamax-crystal-aqr8414	★Aqr8414	★Aqr8414	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1587	dynamax-crystal-aqr8709	★Aqr8709	★Aqr8709	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1588	dynamax-crystal-aqr8518	★Aqr8518	★Aqr8518	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1589	dynamax-crystal-aqr7950	★Aqr7950	★Aqr7950	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1590	dynamax-crystal-aqr8499	★Aqr8499	★Aqr8499	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1591	dynamax-crystal-aqr8610	★Aqr8610	★Aqr8610	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1592	dynamax-crystal-aqr8264	★Aqr8264	★Aqr8264	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1593	dynamax-crystal-cru4853	★Cru4853	★Cru4853	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1594	dynamax-crystal-cru4730	★Cru4730	★Cru4730	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1595	dynamax-crystal-cru4763	★Cru4763	★Cru4763	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1596	dynamax-crystal-cru4700	★Cru4700	★Cru4700	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1597	dynamax-crystal-cru4656	★Cru4656	★Cru4656	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1598	dynamax-crystal-psa8728	★PsA8728	★PsA8728	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1599	dynamax-crystal-tra6217	★TrA6217	★TrA6217	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1600	dynamax-crystal-cap7776	★Cap7776	★Cap7776	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1601	dynamax-crystal-cap7754	★Cap7754	★Cap7754	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1602	dynamax-crystal-cap8278	★Cap8278	★Cap8278	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1603	dynamax-crystal-cap8322	★Cap8322	★Cap8322	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1604	dynamax-crystal-cap7773	★Cap7773	★Cap7773	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1605	dynamax-crystal-sge7479	★Sge7479	★Sge7479	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1606	dynamax-crystal-car2326	★Car2326	★Car2326	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1607	dynamax-crystal-car3685	★Car3685	★Car3685	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1608	dynamax-crystal-car3307	★Car3307	★Car3307	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1609	dynamax-crystal-car3699	★Car3699	★Car3699	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1610	dynamax-crystal-dra5744	★Dra5744	★Dra5744	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1611	dynamax-crystal-dra5291	★Dra5291	★Dra5291	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1612	dynamax-crystal-dra6705	★Dra6705	★Dra6705	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1613	dynamax-crystal-dra6536	★Dra6536	★Dra6536	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1614	dynamax-crystal-dra7310	★Dra7310	★Dra7310	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1615	dynamax-crystal-dra6688	★Dra6688	★Dra6688	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1616	dynamax-crystal-dra4434	★Dra4434	★Dra4434	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1617	dynamax-crystal-dra6370	★Dra6370	★Dra6370	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1618	dynamax-crystal-dra7462	★Dra7462	★Dra7462	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1619	dynamax-crystal-dra6396	★Dra6396	★Dra6396	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1620	dynamax-crystal-dra6132	★Dra6132	★Dra6132	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1621	dynamax-crystal-dra6636	★Dra6636	★Dra6636	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1622	dynamax-crystal-cvn4915	★CVn4915	★CVn4915	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
1623	dynamax-crystal-cvn4785	★CVn4785	★CVn4785	Dynamax crystals	20		使用后的当天， 旷野地带的瞭望塔巨巢中 会出现[VAR (0000)]。
